,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_speed,Country,Date
350,deputatskiy,-1.2,-46.02,75.25,93,4,3.6,BR,1596609466
351,vestmannaeyjar,61.01,35.48,64.53,80,100,12.82,RU,1596609467
352,miri,28.5,-13.86,71.6,78,40,13.87,ES,1596609467
353,riviere-au-renard,65.75,150.85,67.8,34,0,1.74,RU,1596609467
354,amderma,33.5,133.9,84.2,79,75,8.05,JP,1596609468
355,huzhou,54.72,158.62,67.77,62,0,2.35,RU,1596609469
356,sioux lookout,47.06,6.75,53.6,66,0,9.17,CH,1596609469
357,virginia beach,-33.3,-66.34,53.76,74,0,3.94,AR,1596609470
358,iquique,64.22,41.66,62.6,93,40,4.47,RU,1596609470
359,miraflores,5.58,-55.18,77,94,20,2.24,SR,1596609470
360,shakhtinsk,52.15,-6.99,62.01,95,100,7,IE,1596609471
361,norman wells,69.22,-51.1,42.8,87,98,8.05,GL,1596609471
362,jackson,64.5,-165.41,55.99,66,75,4.7,US,1596609299
363,pacific grove,18.22,42.51,71.6,68,67,7.43,SA,1596609472
364,lodja,47.97,80.44,84.94,28,0,11.92,KZ,1596609472
365,bandarbeyla,-6.64,-51.99,67.96,62,0,2.37,BR,1596609472
366,killarney,-21.37,55.62,72,64,46,13.87,RE,1596609472
367,roald,64.75,177.48,59,51,40,8.95,RU,1596609182
368,tabou,29.83,106.43,98.6,44,100,8.95,CN,1596609473
369,nanortalik,58.3,-134.42,57.2,87,90,18.34,US,1596609473
370,mingshui,-13.28,-50.16,65.35,52,0,5.95,BR,1596609473
371,cabo san lucas,17.98,73.47,76.73,92,100,7.43,IN,1596609474
372,juba,71,24.66,51.8,93,75,5.82,NO,1596609474
373,ostrovnoy,44.37,-100.35,62.01,93,20,5.82,US,1596609187
374,altay,64.86,-147.8,60.8,82,75,2.35,US,1596609475
375,coffs harbour,37.47,-105.87,55.4,54,1,5.82,US,1596609475
376,jieshi,65.58,-171,46.15,83,86,5.14,RU,1596609475
377,paita,-13.7,-76.22,60.8,82,90,10.29,PE,1596609436
378,cockburn town,20.5,-10.07,87.57,51,56,23.24,MR,1596609476
379,smirnykh,55.3,89.83,69.28,65,3,12.06,RU,1596609476
380,birjand,13.98,-14.8,76.33,90,95,7.74,SN,1596609477
381,seddon,46.49,135.88,70.48,92,23,4.94,RU,1596609477
382,hambantota,47.73,-3.43,64.4,82,90,4.7,FR,1596609477
383,ballitoville,-9.77,37.93,79.29,46,0,5.44,TZ,1596609477
384,goderich,-20.21,57.76,72,77,40,6.93,MU,1596609478
385,ust-kamchatsk,26.71,-108.32,77.76,67,93,3.58,MX,1596609478
